observation_date,Return M
30-Sep-1959,0.00415224319338751
31-Oct-1959,0.00367238845163516
30-Nov-1959,0.000271520834894853
31-Dec-1959,-0.00994161503289832
31-Jan-1960,0.00960346870861304
29-Feb-1960,0.0221809124193534
31-Mar-1960,0.0327494920827758
30-Apr-1960,-0.0196942297597244
31-May-1960,0.0188542940363132
30-Jun-1960,0.00185747193741585
31-Jul-1960,0.0353883044795173
31-Aug-1960,-0.000441067218492071
30-Sep-1960,0.00729863951113556
31-Oct-1960,-0.00354576951152931
30-Nov-1960,-0.00490922339763757
31-Dec-1960,0.0245504479629553
31-Jan-1961,-0.00624375450691011
28-Feb-1961,0.0129046878924188
31-Mar-1961,-0.00355654296026977
30-Apr-1961,0.00842230858798407
31-May-1961,-0.00353694453505305
30-Jun-1961,-0.0026299356021845
